id,participantId,timeOfNotification,timeOfEngagement,timeOfContext,timeOfValence,timeOfArousal,valence,arousal,context
250,27,3196398,3200121,3210968,3204262,3208914,NEUTRAL,LOW,OTHER
251,27,3677141,3682487,3698420,3694521,3696439,POSITIVE,MEDIUM,WALKING
252,27,4737742,4743456,4765589,4759698,4763171,NEUTRAL,LOW,VIEW_BOOTH
253,27,4892215,4935051,4944043,4939719,4942123,NEUTRAL,MEDIUM,CONVERSATION
254,27,6492252,0,0,0,0,NONE,NONE,NONE
255,27,6492416,6496291,6511948,6505695,6509294,NEUTRAL,LOW,WALKING
256,27,7847710,0,0,0,0,NONE,NONE,NONE
257,27,7847871,7908945,7920353,7916658,7918473,NEGATIVE,LOW,CONVERSATION
258,27,9078240,0,0,0,0,NONE,NONE,NONE
259,27,9078310,0,0,0,0,NONE,NONE,NONE
260,28,476606,482399,495293,489895,492119,POSITIVE,MEDIUM,CONVERSATION
261,28,1001075,1006696,1022210,1013181,1018261,NEGATIVE,HIGH,OTHER
262,28,1799545,1805471,1814420,1810339,1812250,NEGATIVE,MEDIUM,WALKING
263,28,2334532,2339044,2350019,2343825,2345735,NEUTRAL,MEDIUM,CONVERSATION
264,28,3047103,3057355,3064855,3060992,3062786,NEUTRAL,MEDIUM,CONVERSATION
265,28,3643104,3660732,3669348,3665989,3667746,POSITIVE,HIGH,CONVERSATION
266,28,4292129,4300716,0,4305364,4307460,NEUTRAL,MEDIUM,NONE
267,28,5114105,5121522,5131232,5126904,5129271,NEUTRAL,MEDIUM,WALKING
268,28,5572967,5590179,5596978,5593618,5595145,NEUTRAL,MEDIUM,WALKING
269,28,6477099,0,0,0,0,NONE,NONE,NONE
270,28,6996539,7028566,7037503,7032028,7034129,POSITIVE,HIGH,VIEW_BOOTH
271,28,7701136,0,0,0,0,NONE,NONE,NONE
272,28,8407633,0,0,0,0,NONE,NONE,NONE
273,29,458619,466826,485566,475687,478805,POSITIVE,MEDIUM,WALKING
274,29,1018280,1022240,1045166,1040684,1042630,POSITIVE,HIGH,CONVERSATION
275,29,1896030,1900823,1911410,1906091,1909245,NEUTRAL,HIGH,VIEW_BOOTH
276,29,2244834,0,0,0,0,NONE,NONE,NONE
277,29,3168088,3180806,3191350,3185135,3188772,NEGATIVE,LOW,VIEW_BOOTH
278,29,3799169,3963759,3979611,3970320,3974500,POSITIVE,MEDIUM,CONVERSATION
279,29,4595223,4599365,4610211,4604164,4607831,NEUTRAL,MEDIUM,CONVERSATION
280,29,5225253,5227892,5236898,5232521,5234335,NEUTRAL,MEDIUM,VIEW_BOOTH
281,29,5849165,5856617,0,5868735,5872981,NEUTRAL,MEDIUM,NONE
282,29,6444878,6447815,6699311,6452365,6455099,POSITIVE,MEDIUM,OTHER
283,30,447369,466334,486285,476298,481761,NEUTRAL,LOW,WALKING
284,30,1014547,1018455,1030259,1023458,1026962,POSITIVE,HIGH,OTHER
285,30,1813364,1816159,1830888,1824864,1827496,NEUTRAL,LOW,CONVERSATION
286,30,2225313,2229694,2236292,2233304,2234671,POSITIVE,HIGH,CONVERSATION
287,30,3123141,3127754,3135059,3131141,3133218,NEUTRAL,LOW,CONVERSATION
288,30,3469211,3472891,3480588,3476766,3478485,POSITIVE,HIGH,CONVERSATION
289,30,4447626,4450357,4458639,4455220,4456848,POSITIVE,MEDIUM,CONVERSATION
290,30,4706883,4712173,4719855,4715992,4717904,POSITIVE,MEDIUM,CONVERSATION
291,30,5668802,5673738,5686133,5680486,5682460,POSITIVE,MEDIUM,CONVERSATION
292,30,5909192,5912558,5920920,5916664,5918603,NEUTRAL,MEDIUM,OTHER
293,30,6894924,6899530,6908985,6903811,6905595,NEGATIVE,MEDIUM,VIEW_BOOTH
294,30,7206549,7210380,7218136,7214044,7216234,POSITIVE,MEDIUM,CONVERSATION
295,30,8175968,8188976,8197301,8194089,8195626,NEUTRAL,MEDIUM,CONVERSATION
296,31,450055,456852,470741,464492,467490,POSITIVE,MEDIUM,WALKING
297,31,1027972,1031999,1041707,1036536,1039626,NEUTRAL,MEDIUM,CONVERSATION
298,31,1864189,1870609,1880504,1875238,1878668,POSITIVE,MEDIUM,VIEW_BOOTH
299,31,2524865,2594119,2601479,2598005,2599792,POSITIVE,HIGH,VIEW_BOOTH
300,31,3095696,3108949,3118228,3113028,3115879,NEUTRAL,MEDIUM,CONVERSATION
301,31,3957981,3972387,3979397,3976233,3977939,POSITIVE,HIGH,VIEW_BOOTH
302,31,4585810,4627485,4634986,4630965,4632966,NEUTRAL,MEDIUM,WALKING
303,31,5232846,5241562,5257078,5245032,5255390,POSITIVE,HIGH,VIEW_BOOTH
304,31,5806903,5852567,5861047,5856299,5859070,NEUTRAL,MEDIUM,CONVERSATION
305,31,6473876,6491700,6499561,6495728,6497253,POSITIVE,MEDIUM,VIEW_BOOTH
306,32,415875,465231,490166,482402,485624,NEUTRAL,MEDIUM,WALKING
307,32,1019863,1025362,1045056,1030184,1035107,POSITIVE,HIGH,OTHER
308,32,1815296,1817977,1833558,1823311,1829782,NEUTRAL,MEDIUM,CONVERSATION
309,32,2303442,2333455,2345887,2340387,2343551,NEUTRAL,MEDIUM,VIEW_BOOTH
310,32,3480594,4767318,4775586,4772166,4773762,NEUTRAL,MEDIUM,CONVERSATION
311,32,3605400,0,0,0,0,NONE,NONE,NONE
312,32,4750517,0,0,0,0,NONE,NONE,NONE
313,32,4930815,4940270,4949457,4944587,4946735,POSITIVE,HIGH,WALKING
314,32,5970857,5978016,5991748,5986972,5989422,NEGATIVE,MEDIUM,VIEW_BOOTH
315,32,6164148,6171884,6180697,6176540,6178445,NEUTRAL,MEDIUM,WALKING
316,32,7225854,0,0,0,0,NONE,NONE,NONE
317,32,7406065,7412599,7423023,7418435,7420389,NEUTRAL,MEDIUM,OTHER
318,32,8486790,0,0,0,0,NONE,NONE,NONE
319,33,413389,508962,521373,514056,516476,POSITIVE,MEDIUM,WALKING
320,33,1064795,1073304,1088584,1083644,1085745,POSITIVE,MEDIUM,VIEW_BOOTH
321,33,1702340,1735244,1744899,1739908,1742719,POSITIVE,HIGH,VIEW_BOOTH
322,33,2354336,2426868,2435258,2430689,2433579,POSITIVE,HIGH,VIEW_BOOTH
323,33,2925085,2945096,2952927,2948622,2951113,POSITIVE,HIGH,WALKING
324,33,3568527,3713623,3721992,3717477,3719842,POSITIVE,HIGH,VIEW_BOOTH
325,33,4136559,0,0,0,0,NONE,NONE,NONE
326,33,4866120,0,0,0,0,NONE,NONE,NONE
327,33,5472632,0,0,0,0,NONE,NONE,NONE
328,33,6078250,6175510,6185420,6179357,6182878,POSITIVE,HIGH,VIEW_BOOTH
329,33,6819561,0,0,0,0,NONE,NONE,NONE
330,33,7428337,7546845,7554072,7550332,7552007,POSITIVE,HIGH,CONVERSATION
331,33,8042241,8096825,8103922,8100257,8102092,POSITIVE,HIGH,CONVERSATION
332,33,8755173,8778412,8786296,8781974,8783745,POSITIVE,HIGH,OTHER
333,34,447403,599386,611664,605102,607625,POSITIVE,HIGH,CONVERSATION
334,34,990543,1007641,1018160,1013479,1016629,NEUTRAL,MEDIUM,WALKING
335,34,1754661,1759063,1769011,1764134,1765991,NEUTRAL,MEDIUM,CONVERSATION
336,34,2376149,2380973,2393972,2386984,2391550,NEUTRAL,HIGH,WALKING
337,34,3003937,0,0,0,0,NONE,NONE,NONE
338,34,3691582,3695655,3709449,3703057,3705195,NEUTRAL,LOW,OTHER
339,34,4221700,0,0,0,0,NONE,NONE,NONE
340,35,469206,487847,516695,500694,503836,POSITIVE,MEDIUM,OTHER
341,35,1060038,1065202,1082202,1074460,1077200,NEUTRAL,MEDIUM,WALKING
342,35,1724995,1729403,1750704,1742459,1745993,NEUTRAL,MEDIUM,CONVERSATION
343,35,2386318,0,0,0,0,NONE,NONE,NONE
344,35,2937105,2942275,2956687,2949676,2951460,NEUTRAL,MEDIUM,CONVERSATION
345,35,3690562,0,0,0,0,NONE,NONE,NONE
346,35,4209228,4212499,4221547,4216521,4218310,NEUTRAL,MEDIUM,CONVERSATION
347,35,4971865,4979279,4989400,4984380,4986488,NEUTRAL,MEDIUM,CONVERSATION
348,35,5518036,5521107,5531601,5525542,5527340,NEUTRAL,MEDIUM,WALKING
349,35,6228270,6244592,6253785,6250388,6251858,NEUTRAL,MEDIUM,CONVERSATION
350,35,6798570,6806229,6814386,6810912,6812601,NEUTRAL,MEDIUM,WALKING
351,35,7532303,0,0,0,0,NONE,NONE,NONE
352,35,8075559,8093519,8100809,8096905,8098683,NEUTRAL,MEDIUM,CONVERSATION
353,35,8769411,8772863,8782066,8777050,8778714,NEUTRAL,MEDIUM,OTHER
354,36,447096,462169,473327,468716,470877,POSITIVE,HIGH,WALKING
355,36,1013861,1019472,1028712,1023114,1025523,POSITIVE,HIGH,OTHER
356,36,1807896,1813955,1821801,1817652,1819757,NEUTRAL,MEDIUM,WALKING
357,36,2220363,2224940,2232741,2228898,2230450,POSITIVE,HIGH,VIEW_BOOTH
358,36,3101101,3104983,3111671,3108253,3110076,POSITIVE,HIGH,VIEW_BOOTH
359,36,3512204,3528567,3535243,3532199,3533668,POSITIVE,HIGH,VIEW_BOOTH
360,36,4416861,4433129,4439381,4436250,4437921,POSITIVE,HIGH,VIEW_BOOTH
361,36,4890566,0,0,0,0,NONE,NONE,NONE
362,36,5645858,5664499,5670490,5667661,5669057,POSITIVE,HIGH,VIEW_BOOTH
363,36,6164371,6169127,6175286,6172464,6173816,NEUTRAL,MEDIUM,WALKING
364,36,6939867,0,0,0,0,NONE,NONE,NONE
365,36,7421739,7425039,7434355,7430565,7432070,POSITIVE,HIGH,WALKING
